SMILES,ID,CDK12 IC50,pValue,,,,,,, pValue
CN(C)CCOCC1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS155308,2.9488946,5.53034075,,,,,,,
C=CC[C@@H]1CNC(=O)C2=C1NC(=C2)C1=C2C=CNC2=NC=C1,ADS155819,1.2853121,5.890991404,,,,,,,
C=CC[C@H]1CNC(=O)C2=C1NC(=C2)C1=C2C=CNC2=NC=C1,ADS155820,0.5381173,6.269123046,,,,,,,
CC1=NN2N=CC(=C2C=C1)C1=CC=NC2=C1C=CN2,ADS155915,2.1437193,5.668832082,,,,,,,
[H][C@]1(CCN(C1)C(=O)C1=CC=C(NC(=O)C=C)C=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS156210,0.01656915,7.78069977,,,,,,,
[H][C@]1(CCN(C1)C(=O)C1=CC(NC(=O)C=C)=CC=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS156211,0.015207,7.817956454,,,,,,,
CN(C)C\\C=C\\C(=O)NC1=CC=CC(=C1)C(=O)N1CCC(C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS156316,0.03019395,7.520080068,,,,,,,
CC(C)(C)OC(=O)N1CCC(C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS156317,0.345749375,6.461238596,,,,,,,
C1CC(CN1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS156318,0.03791445,7.42119524,,,,,,,
CN(C)C\\C=C\\C(=O)NC1=CC=C(C=C1)C(=O)N1CCC(C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS156357,0.02937055,7.532087921,,,,,,,
ClCC(=O)NC1=CC=C(C=C1)C(=O)N1CCC(C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS156358,0.01963625,7.706941447,,,,,,,
